Metric,Value
route__wirelength__iter:12,674641
route__drc_errors__iter:13,22
route__wirelength__iter:13,674641
route__drc_errors__iter:14,22
route__wirelength__iter:14,674654
route__drc_errors__iter:15,22
route__wirelength__iter:15,674658
route__drc_errors__iter:16,22
route__wirelength__iter:16,674658
route__drc_errors__iter:17,22
route__wirelength__iter:17,674658
route__drc_errors__iter:18,31
route__wirelength__iter:18,674616
route__drc_errors__iter:19,29
route__wirelength__iter:19,674605
route__drc_errors__iter:20,28
route__wirelength__iter:20,674605
route__drc_errors__iter:21,23
route__wirelength__iter:21,674611
route__drc_errors__iter:22,23
route__wirelength__iter:22,674611
route__drc_errors__iter:23,22
route__wirelength__iter:23,674601
route__drc_errors__iter:24,22
route__wirelength__iter:24,674601
route__drc_errors__iter:25,22
route__wirelength__iter:25,674601
route__drc_errors__iter:26,29
route__wirelength__iter:26,674597
route__drc_errors__iter:27,28
route__wirelength__iter:27,674597
route__drc_errors__iter:28,28
route__wirelength__iter:28,674597
route__drc_errors__iter:29,28
route__wirelength__iter:29,674604
route__drc_errors__iter:30,28
route__wirelength__iter:30,674597
route__drc_errors__iter:31,3
route__wirelength__iter:31,674597
route__drc_errors__iter:32,3
route__wirelength__iter:32,674597
route__drc_errors__iter:33,0
route__wirelength__iter:33,674602
route__drc_errors,0
route__wirelength,674602
route__vias,83868
route__vias__singlecut,83868
route__vias__multicut,0
design__disconnected_pin__count,228
design__critical_disconnected_pin__count,0
route__wirelength__max,3028.16
timing__unannotated_net__count__corner:nom_tt_025C_1v80,745
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,745
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,745
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,805
design__max_cap_violation__count__corner:min_tt_025C_1v80,0
clock__skew__worst_hold__corner:min_tt_025C_1v80,-2.263825191383026
clock__skew__worst_setup__corner:min_tt_025C_1v80,0.3510458412210056
timing__hold__ws__corner:min_tt_025C_1v80,0.13211698775612707
timing__setup__ws__corner:min_tt_025C_1v80,10.981571518515356
timing__hold__tns__corner:min_tt_025C_1v80,0.0
timing__setup__tns__corner:min_tt_025C_1v80,0.0
timing__hold__wns__corner:min_tt_025C_1v80,0
timing__setup__wns__corner:min_tt_025C_1v80,0.0
timing__hold_vio__count__corner:min_tt_025C_1v80,0
timing__hold_r2r__ws__corner:min_tt_025C_1v80,0.332882
timing__hold_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__setup_vio__count__corner:min_tt_025C_1v80,0
timing__setup_r2r__ws__corner:min_tt_025C_1v80,14.935961
timing__setup_r2r_vio__count__corner:min_tt_025C_1v80,0
timing__unannotated_net__count__corner:min_tt_025C_1v80,745
timing__unannotated_net_filtered__count__corner:min_tt_025C_1v80,0
design__max_slew_violation__count__corner:min_ss_100C_1v60,29
design__max_fanout_violation__count__corner:min_ss_100C_1v60,805
design__max_cap_violation__count__corner:min_ss_100C_1v60,3
clock__skew__worst_hold__corner:min_ss_100C_1v60,-2.4042128968173127
clock__skew__worst_setup__corner:min_ss_100C_1v60,0.416709761824958
timing__hold__ws__corner:min_ss_100C_1v60,0.48465943741222994
timing__setup__ws__corner:min_ss_100C_1v60,5.465951401762079
timing__hold__tns__corner:min_ss_100C_1v60,0.0
timing__setup__tns__corner:min_ss_100C_1v60,0.0
timing__hold__wns__corner:min_ss_100C_1v60,0
timing__setup__wns__corner:min_ss_100C_1v60,0.0
timing__hold_vio__count__corner:min_ss_100C_1v60,0
timing__hold_r2r__ws__corner:min_ss_100C_1v60,0.898774
timing__hold_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__setup_vio__count__corner:min_ss_100C_1v60,0
timing__setup_r2r__ws__corner:min_ss_100C_1v60,5.465951
timing__setup_r2r_vio__count__corner:min_ss_100C_1v60,0
timing__unannotated_net__count__corner:min_ss_100C_1v60,745
